iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation_ft,timezone,airport_type
DOG,HSDN,Dongola Airport,Dongola,SD,19.153900146499996,30.430099487299998,772,Africa/Khartoum,medium_airport
DOH,OTHH,Hamad International Airport,Doha,QA,25.273056,51.608056,13,Asia/Qatar,large_airport
DOL,LFRG,Deauville Normandie airport,Deauville,FR,49.365237,0.154481,479,Europe/Paris,medium_airport
DOM,TDPD,Douglas-Charles Airport,Marigot,DM,15.547,-61.299999,73,America/Dominica,medium_airport
DOV,KDOV,Dover Air Force Base,Dover,US,39.129501,-75.466003,24,America/New_York,medium_airport
DOY,ZSDY,Dongying Shengli Airport,Dongying (Kenli),CN,37.50137,118.789863,15,Asia/Shanghai,medium_airport
DPA,KDPA,Dupage Airport,Chicago/West Chicago,US,41.90779877,-88.24859619,759,America/Chicago,medium_airport
DPL,RPMG,Dipolog Airport,Dipolog,PH,8.601983,123.341875,12,Asia/Manila,medium_airport
DPO,YDPO,Devonport Airport,Devonport,AU,-41.1697006226,146.429992676,33,Australia/Melbourne,medium_airport
DPS,WADD,Denpasar I Gusti Ngurah Rai International Airport,"Kuta, Badung",ID,-8.748409,115.167123,14,Asia/Makassar,large_airport
DQM,,Duqm International Airport,Duqm,OM,19.501944,57.634167,364,Asia/Muscat,large_airport
DRA,KDRA,Desert Rock Airport,Mercury,US,36.6194,-116.032997,3314,America/Los_Angeles,medium_airport
DRB,YDBY,Derby Airport,Derby,AU,-17.37193,123.66221,24,Australia/Perth,medium_airport
DRG,PADE,Deering Airport,Deering,US,66.068901,-162.766914,21,America/Anchorage,medium_airport
DRI,KDRI,Beauregard Regional Airport,DeRidder,US,30.831699,-93.339897,202,America/Chicago,medium_airport
DRN,YDBI,Dirranbandi Airport,,AU,-28.587912,148.217161,567,Australia/Brisbane,medium_airport
DRO,KDRO,Durango La Plata County Airport,Durango,US,37.151501,-107.753998,6685,America/Denver,medium_airport
DRP,RPLK,Bicol International Airport,Legazpi,PH,13.111915,123.676829,319,Asia/Manila,medium_airport
DRS,EDDC,Dresden Airport,Dresden,DE,51.134123,13.767831,755,Europe/Berlin,medium_airport
DRT,KDRT,Del Rio International Airport,Del Rio,US,29.3742008209,-100.927001953,1002,America/Chicago,medium_airport
DRW,YPDN,Darwin International Airport / RAAF Darwin,Darwin,AU,-12.41497,130.88185,103,Australia/Darwin,large_airport
DSI,KDTS,Destin Executive Airport,Destin,US,30.400101,-86.471497,23,America/Chicago,medium_airport
DSK,OPDI,Dera Ismael Khan Airport [IN-ACTIVE],Dera Ismael Khan,PK,31.909401,70.896599,594,Asia/Karachi,medium_airport
DSM,KDSM,Des Moines International Airport,Des Moines,US,41.534,-93.663101,958,America/Chicago,medium_airport
DSN,ZBDS,Ordos Ejin Horo Airport,Ordos,CN,39.493514,109.8599,4557,Asia/Shanghai,medium_airport
DSO,ZKSD,Sondok Airport,Sŏndŏng-ni,KP,39.745201,127.473999,12,Asia/Pyongyang,medium_airport
DSS,GOBD,Blaise Diagne International Airport,Dakar,SN,14.670878,-17.072829,290,Africa/Dakar,large_airport
DTE,RPUD,Daet Airport,Daet,PH,14.1292,122.980003,10,Asia/Manila,medium_airport
DTM,EDLW,Dortmund Airport,Dortmund,DE,51.518299,7.61224,425,Europe/Berlin,medium_airport
DTU,ZYDU,Wudalianchi Dedu Airport,Heihe,CN,48.441037,126.128374,984,N/A,medium_airport
DTW,KDTW,Detroit Metropolitan Wayne County Airport,Detroit,US,42.21377,-83.353786,645,America/New_York,large_airport
DUA,KDUA,Durant Regional Airport - Eaker Field,Durant,US,33.939675,-96.395072,699,America/Chicago,medium_airport
DUB,EIDW,Dublin Airport,Dublin,IE,53.428713,-6.262121,242,Europe/Dublin,large_airport
DUD,NZDN,Dunedin International Airport,Dunedin,NZ,-45.928101,170.197998,4,Pacific/Auckland,medium_airport
DUE,FNDU,Dundo Airport,Chitato,AO,-7.400889873504639,20.818500518798828,2451,Africa/Luanda,medium_airport
DUG,KDUG,Bisbee Douglas International Airport,Douglas Bisbee,US,31.4689998627,-109.603996277,4154,America/Phoenix,medium_airport
DUJ,KDUJ,DuBois Regional Airport,Dubois,US,41.17829895,-78.8986969,1817,America/New_York,medium_airport
DUM,WIBD,Pinang Kampai Airport,Dumai,ID,1.609114,101.433492,55,Asia/Jakarta,medium_airport
DUR,FALE,King Shaka International Airport,Durban,ZA,-29.6144444444,31.1197222222,295,Africa/Johannesburg,large_airport
DUS,EDDL,Düsseldorf Airport,Düsseldorf,DE,51.289501,6.76678,147,Europe/Berlin,large_airport
DUT,PADU,Tom Madsen (Dutch Harbor) Airport,Unalaska,US,53.89881,-166.544996,22,America/Anchorage,medium_airport
DVL,KDVL,Devils Lake Regional Airport,Devils Lake,US,48.115454,-98.908796,1456,America/Chicago,medium_airport
DVO,RPMD,Francisco Bangoy International Airport,Davao,PH,7.12552,125.646004,96,Asia/Manila,large_airport
DWA,FWDW,Dwangwa Airport,Dwangwa,MW,-12.517527,34.131877,1605,N/A,medium_airport
DWC,OMDW,Al Maktoum International Airport,Jebel Ali,AE,24.896356,55.161389,114,Asia/Dubai,large_airport
DWD,,King Salman Abdulaziz Airport,Dawadmi,SA,24.4499,44.121201,3026,Asia/Riyadh,medium_airport
DXB,OMDB,Dubai International Airport,Dubai,AE,25.2527999878,55.3643989563,62,Asia/Dubai,large_airport
DXR,KDXR,Danbury Municipal Airport,Danbury,US,41.371656,-73.482227,458,America/New_York,medium_airport
DYA,YDYS,Dysart Airport,,AU,-22.6222,148.363998,670,Australia/Brisbane,medium_airport
DYR,UHMA,Ugolny Yuri Ryktheu Airport,Anadyr,RU,64.734902,177.740997,194,Asia/Anadyr,medium_airport
DYS,KDYS,Dyess Air Force Base,Abilene,US,32.420799,-99.854599,1789,America/Chicago,medium_airport
DYU,UTDD,Dushanbe International Airport,Dushanbe,TJ,38.543746,68.822977,2575,Asia/Dushanbe,medium_airport
DZA,FMCZ,Dzaoudzi Pamandzi International Airport,Dzaoudzi,YT,-12.809319,45.281815,23,Indian/Mayotte,medium_airport
DZH,ZUDA,Dazhou Jinya Airport,Dazhou (Dachuan),CN,31.048815,107.435646,1342,Asia/Shanghai,medium_airport
DZN,UAKD,Zhezkazgan National Airport,Zhezkazgan,KZ,47.708953,67.738094,1250,Asia/Almaty,medium_airport
DZO,SUDU,Santa Bernardina International Airport,Durazno,UY,-33.358898,-56.499199,305,America/Montevideo,medium_airport
EAM,OENG,Najran Domestic Airport,Najran,SA,17.611401,44.419201,3982,Asia/Riyadh,medium_airport
EAR,KEAR,Kearney Regional Airport,Kearney,US,40.727001,-99.006798,2131,America/Chicago,medium_airport
EAS,LESO,San Sebastián Airport,Hondarribia,ES,43.356499,-1.79061,16,Europe/Madrid,medium_airport
EAT,KEAT,Pangborn Memorial Airport,Wenatchee,US,47.398899,-120.207001,1249,America/Los_Angeles,medium_airport
EAU,KEAU,Chippewa Valley Regional Airport,Eau Claire,US,44.86579895019531,-91.48429870605469,913,America/Chicago,medium_airport
