iata_code,icao_code,airport_name,city,country_code,latitude,longitude,elevation_ft,timezone,airport_type
AAA,NTGA,Anaa Airport,Anaa,PF,-17.3526,-145.509995,10,Pacific/Tahiti,medium_airport
AAC,HEAR,El Arish International Airport,El Arish,EG,31.078565,33.836791,118,Africa/Cairo,medium_airport
AAE,DABB,Annaba Rabah Bitat Airport,Annaba,DZ,36.826781,7.81334,16,Africa/Algiers,medium_airport
AAL,EKYT,Aalborg Airport,Aalborg,DK,57.094763,9.84993,10,Europe/Copenhagen,medium_airport
AAM,FAMD,Malamala Airport,Malamala,ZA,-24.816866,31.544085,1124,Africa/Johannesburg,medium_airport
AAN,OMAL,Al Ain International Airport,Al Ain,AE,24.261699676513672,55.60919952392578,869,Asia/Dubai,medium_airport
AAO,SVAN,Anaco Airport,Anaco,VE,9.430225,-64.470726,721,America/Caracas,medium_airport
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.374478,117.250128,82,Asia/Makassar,medium_airport
AAQ,URKA,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,45.002102,37.347301,174,Europe/Moscow,medium_airport
AAR,EKAH,Aarhus Airport,Aarhus,DK,56.303331,10.618286,82,Europe/Copenhagen,medium_airport
AAT,ZWAT,Altay Xuedu Airport,Altay,CN,47.749886,88.085808,2460,Asia/Shanghai,medium_airport
AAV,RPMA,Allah Valley Airport,Surallah,PH,6.367903,124.752431,659,Asia/Manila,medium_airport
AAX,SBAX,Romeu Zema Airport,Araxá,BR,-19.5632,-46.9604,3276,America/Sao_Paulo,medium_airport
AAY,OYGD,Al Ghaydah International Airport,Al Ghaydah,YE,16.193341,52.174186,134,Asia/Aden,medium_airport
ABA,UNAA,Abakan International Airport,Abakan,RU,53.740002,91.385002,831,Asia/Krasnoyarsk,medium_airport
ABB,DNAS,Asaba International Airport,Asaba,NG,6.204167,6.665278,305,Africa/Lagos,medium_airport
ABC,LEAB,Albacete Airport / Los Llanos Air Base,Albacete,ES,38.948502,-1.86352,2302,Europe/Madrid,medium_airport
ABD,OIAA,Abadan Airport,Abadan,IR,30.367887,48.230075,10,Asia/Tehran,medium_airport
ABE,KABE,Lehigh Valley International Airport,Allentown,US,40.651773,-75.442797,393,America/New_York,medium_airport
ABI,KABI,Abilene Regional Airport,Abilene,US,32.4113006592,-99.68190002440001,1791,America/Chicago,medium_airport
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629,21,Africa/Abidjan,medium_airport
ABK,HAKD,Kebri Dahar Airport,Kebri Dahar,ET,6.732577,44.241339,1800,Africa/Addis_Ababa,medium_airport
ABL,PAFM,Ambler Airport,Ambler,US,67.105529,-157.855339,334,America/Anchorage,medium_airport
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925,5355,America/Denver,large_airport
ABR,KABR,Aberdeen Regional Airport,Aberdeen,US,45.449100494384766,-98.42179870605469,1302,America/Chicago,medium_airport
ABS,HEBL,Abu Simbel Airport,Abu Simbel,EG,22.367657,31.609962,614,Africa/Cairo,medium_airport
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.298506,41.636153,5486,Asia/Riyadh,medium_airport
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317,1123,Africa/Lagos,large_airport
ABX,YMAY,Albury Airport,East Albury,AU,-36.066758,146.959148,539,Australia/Sydney,medium_airport
ABY,KABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215,197,America/New_York,medium_airport
ABZ,EGPD,Aberdeen International Airport,Aberdeen,GB,57.2019,-2.19778,215,Europe/London,medium_airport
ACA,MMAA,General Juan N. Álvarez International Airport,Acapulco,MX,16.757126,-99.753113,16,America/Mexico_City,medium_airport
ACC,DGAA,Kotoka International Airport,Accra,GH,5.605189800262451,-0.16678600013256073,205,Africa/Accra,large_airport
ACE,GCRR,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.945499,-13.6052,46,Atlantic/Canary,large_airport
ACH,LSZR,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.485001,9.56077,1306,Europe/Zurich,medium_airport
ACI,EGJA,Alderney Airport,Saint Anne,GG,49.706104,-2.21472,290,Europe/Guernsey,medium_airport
ACJ,VCCA,Anuradhapura Airport,Anuradhapura,LK,8.301542,80.42848,324,Asia/Colombo,medium_airport
ACK,KACK,Nantucket Memorial Airport,Nantucket,US,41.25310135,-70.06020355,47,America/New_York,medium_airport
ACS,UNKS,Achinsk Airport,Achinsk,RU,56.269185,90.57511,1033,Asia/Krasnoyarsk,medium_airport
ACT,KACT,Waco Regional Airport,Waco,US,31.611299514770508,-97.23049926757812,516,America/Chicago,medium_airport
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.978101,-124.109,221,America/Los_Angeles,medium_airport
ACX,ZUYI,Xingyi Wanfenglin Airport,Xingyi,CN,25.083423,104.960804,4150,Asia/Shanghai,medium_airport
ACY,KACY,Atlantic City International Airport,Atlantic City,US,39.45759963989258,-74.57720184326172,75,America/New_York,medium_airport
ACZ,OIZB,Zabol Airport,Zabol,IR,31.098301,61.5439,1628,Asia/Tehran,medium_airport
ADA,LTAF,Adana Şakirpaşa Airport,Seyhan,TR,36.982201,35.280399,65,Europe/Istanbul,medium_airport
ADB,LTBJ,Adnan Menderes International Airport,Gaziemir,TR,38.2924,27.157,412,Europe/Istanbul,large_airport
ADD,HAAB,Addis Ababa Bole International Airport,Addis Ababa,ET,8.97789,38.799301,7630,Africa/Addis_Ababa,large_airport
ADE,OYAA,Aden International Airport,Aden,YE,12.8295,45.028801,7,Asia/Aden,medium_airport
ADF,LTCP,Adıyaman Airport,Adıyaman,TR,37.7314,38.468899,2216,Europe/Istanbul,medium_airport
ADI,FYAR,Arandis Airport,Arandis,NA,-22.461875,14.979322,1905,Africa/Windhoek,medium_airport
ADJ,OJAM,Amman Civil (Marka International) Airport,Amman,JO,31.9727,35.9916,2555,Asia/Amman,medium_airport
ADK,PADK,Adak Airport,Adak,US,51.883564,-176.642783,18,America/Adak,medium_airport
ADL,YPAD,Adelaide International Airport,Adelaide,AU,-34.947512,138.533393,20,Australia/Adelaide,large_airport
ADP,VCCG,Ampara Airport,Ampara,LK,7.336745,81.623869,150,N/A,medium_airport
ADQ,PADQ,Kodiak Airport,Kodiak,US,57.75,-152.4940033,78,America/Anchorage,medium_airport
ADT,KADH,Ada Regional Airport,Ada,US,34.805214,-96.671988,1016,America/Chicago,medium_airport
ADU,OITL,Ardabil Airport,Ardabil,IR,38.3256988525,48.4244003296,4315,Asia/Tehran,medium_airport
ADW,KADW,Joint Base Andrews,Camp Springs,US,38.810799,-76.866997,280,America/New_York,large_airport
ADX,EGQL,Leuchars Station Airfield,"Leuchars, Fife",GB,56.37398,-2.868862,38,Europe/London,medium_airport
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,San Andrés,CO,12.5836,-81.7112,19,America/Bogota,medium_airport
AEB,ZGBS,Baise (Bose) Bama Airport,Baise (Tianyang),CN,23.7206,106.959999,490,Asia/Shanghai,medium_airport
AEG,WIME,Aek Godang Airport,Padang Sidempuan,ID,1.4001,99.430496,922,Asia/Jakarta,medium_airport
AEH,FTTC,Abeche Airport,Abeche,TD,13.847,20.844299,1788,Africa/Ndjamena,medium_airport
AEP,SABE,Jorge Newbery Airpark,Buenos Aires,AR,-34.5592,-58.4156,18,America/Argentina/Buenos_Aires,large_airport
AER,URSS,Sochi International Airport,Sochi,RU,43.449902,39.9566,89,Europe/Moscow,large_airport
AES,ENAL,"Ålesund Airport, Vigra",Ålesund,NO,62.5625,6.1197,69,Europe/Oslo,medium_airport
AEU,OIBA,Abu Musa Island Airport,Abu Musa,IR,25.8757,55.033001,23,Asia/Tehran,medium_airport
AEX,KAEX,Alexandria International Airport,Alexandria,US,31.3274,-92.549797,89,America/Chicago,medium_airport
AEY,BIAR,Akureyri Airport,Akureyri,IS,65.656573,-18.072018,6,Atlantic/Reykjavik,medium_airport
AFA,SAMR,Suboficial Ay Santiago Germano Airport,San Rafael,AR,-34.588299,-68.4039,2470,America/Argentina/Mendoza,medium_airport
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,-9.866389,-56.106298,948,America/Cuiaba,medium_airport
AFW,KAFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,US,32.99044,-97.31947,722,America/Chicago,medium_airport
AFY,LTAH,Afyon Air Base,Afyonkarahisar,TR,38.726398,30.601101,3310,Europe/Istanbul,medium_airport
AFZ,OIMS,Sabzevar National Airport,Sabzevar,IR,36.16809844970703,57.59519958496094,3010,Asia/Tehran,medium_airport
AGA,GMAD,Al Massira Airport,Agadir (Temsia),MA,30.322478,-9.412003,250,Africa/Casablanca,large_airport
AGB,EDMA,Augsburg Airport,Augsburg,DE,48.425278,10.931667,1516,Europe/Berlin,medium_airport
AGC,KAGC,Allegheny County Airport,Pittsburgh,US,40.354401,-79.930199,1252,America/New_York,medium_airport
AGF,LFBA,Agen La Garenne airport,Agen,FR,44.174171,0.59309,204,Europe/Paris,medium_airport
AGH,ESTA,Ängelholm-Helsingborg Airport,Ängelholm,SE,56.29610061645508,12.847100257873535,68,Europe/Stockholm,medium_airport
AGP,LEMG,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.49911,53,Europe/Madrid,large_airport
AGR,VIAG,Agra Airport / Agra Air Force Station,Agra,IN,27.157683,77.960942,551,Asia/Kolkata,medium_airport
AGS,KAGS,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645,144,America/New_York,medium_airport
AGT,SGES,Aeropuerto Internacional Guaraní,Ciudad del Este,PY,-25.457186,-54.839544,846,America/Asuncion,large_airport
AGU,MMAS,Jesús Terán Peredo International Airport,Aguascalientes,MX,21.699589,-102.318372,6112,America/Mexico_City,medium_airport
AGV,SVAC,Oswaldo Guevara Mujica Airport,Acarigua,VE,9.553375,-69.237869,640,America/Caracas,medium_airport
AGX,VOAT,Agatti Airport,Agatti,IN,10.8237,72.176003,14,Asia/Kolkata,medium_airport
AGZ,FAAG,Aggeneys Airport,Aggeneys,ZA,-29.281799,18.8139,2648,Africa/Johannesburg,medium_airport
AHA,VEAP,Maa Mahamaya Airport,Ambikapur,IN,22.98753,83.19612,1930,Asia/Kolkata,medium_airport
AHB,OEAB,Abha International Airport,Abha,SA,18.2404,42.656601,6858,Asia/Riyadh,large_airport
AHE,NTHE,Ahe Airport,Ahe Atoll,PF,-14.428099632263184,-146.2570037841797,11,Pacific/Tahiti,medium_airport
AHJ,ZUHY,Hongyuan Airport,Ngawa (Hongyuan),CN,32.53154,102.35224,11600,Asia/Shanghai,medium_airport
AHN,KAHN,Athens Ben Epps Airport,Athens,US,33.948842,-83.325634,808,America/New_York,medium_airport
AHO,LIEA,Alghero-Fertilia Airport,Alghero,IT,40.632099,8.29077,87,Europe/Rome,medium_airport
AHU,GMTA,Cherif Al Idrissi Airport,Al Hoceima,MA,35.177101,-3.83952,95,Africa/Casablanca,medium_airport
AIA,KAIA,Alliance Municipal Airport,Alliance,US,42.052543,-102.803965,3931,America/Denver,medium_airport
AIN,PAWI,Wainwright Airport,Wainwright,US,70.638,-159.994995,41,America/Anchorage,medium_airport
AJA,LFKJ,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,41.923599,8.80292,18,Europe/Paris,medium_airport
AJF,OESK,Al-Jawf Domestic Airport,Al-Jawf,SA,29.78510093688965,40.099998474121094,2261,Asia/Riyadh,medium_airport
AJI,LTCO,Ağrı Airport,Ağrı,TR,39.655642,43.025742,5462,Europe/Istanbul,medium_airport
AJL,VELP,Lengpui Airport,Aizawl (Lengpui),IN,23.840599,92.619698,1398,Asia/Kolkata,medium_airport
AJN,FMCV,Ouani Airport,Ouani,KM,-12.131047,44.430044,62,Indian/Comoro,medium_airport
AJR,ESNX,Arvidsjaur Airport,Arvidsjaur,SE,65.59030151367188,19.28190040588379,1245,Europe/Stockholm,medium_airport
AJU,SBAR,Aracaju - Santa Maria International Airport,Aracaju,BR,-10.984,-37.070301,139,America/Fortaleza,medium_airport
AJY,DRZA,Mano Dayak International Airport,Agadez,NE,16.965999603271484,8.000109672546387,1657,Africa/Niamey,medium_airport
AKC,KAKR,Akron Fulton International Airport,Akron,US,41.037355,-81.46784,1067,America/New_York,medium_airport
AKD,VAAK,Akola Airport,Akola,IN,20.698931,77.056883,999,Asia/Kolkata,medium_airport
AKF,HLKF,Kufra Airport,Kufra,LY,24.178699493408203,23.31399917602539,1367,Africa/Tripoli,medium_airport
AKH,OEPS,Prince Sultan Air Base,Al Kharj,SA,24.0627,47.580502,1651,Asia/Riyadh,medium_airport
AKJ,RJEC,Asahikawa Airport,Higashikagura,JP,43.670799,142.447006,721,Asia/Tokyo,medium_airport
AKL,NZAA,Auckland International Airport,Auckland,NZ,-37.01199,174.786331,23,Pacific/Auckland,large_airport
AKN,PAKN,King Salmon Airport,King Salmon,US,58.677845,-156.651965,73,America/Anchorage,medium_airport
AKP,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,68.133598,-151.742996,2102,America/Anchorage,medium_airport
AKR,DNAK,Akure Airport,Akure,NG,7.246739864349365,5.3010101318359375,1100,N/A,medium_airport
AKT,LCRA,RAF Akrotiri,Akrotiri,CY,34.590401,32.9879,76,Asia/Nicosia,medium_airport
AKU,ZWAK,Aksu Hongqipo Airport,Aksu (Onsu),CN,41.262501,80.291702,3816,Asia/Shanghai,medium_airport
AKW,OIAG,Aghajari Airport,Aghajari,IR,30.7444,49.6772,88,Asia/Tehran,medium_airport
AKX,UATT,Aktobe Airport,Aktobe,KZ,50.2458,57.206699,738,Asia/Aqtobe,medium_airport
AKY,VYSW,Sittwe Airport,Sittwe,MM,20.133165,92.870693,27,Asia/Yangon,medium_airport
ALA,UAAA,Almaty International Airport,Almaty,KZ,43.354267,77.042828,2234,Asia/Almaty,large_airport
ALB,KALB,Albany International Airport,Albany,US,42.74829864501953,-73.80169677734375,285,America/New_York,medium_airport
ALC,LEAL,Alicante-Elche Miguel Hernández Airport,Alicante,ES,38.2822,-0.558156,142,Europe/Madrid,large_airport
ALF,ENAT,Alta Airport,Alta,NO,69.976097,23.3717,9,Europe/Oslo,medium_airport
ALG,DAAG,Houari Boumediene Airport,Algiers,DZ,36.693886,3.214531,82,Africa/Algiers,large_airport
ALH,YABA,Albany Airport,Albany,AU,-34.943333,117.808889,233,Australia/Perth,medium_airport
ALI,KALI,Alice International Airport,Alice,US,27.7409,-98.026901,178,America/Chicago,medium_airport
ALJ,FAAB,Alexander Bay Airport,Alexander Bay,ZA,-28.575001,16.5333,98,Africa/Johannesburg,medium_airport
ALM,KALM,Alamogordo White Sands Regional Airport,Alamogordo,US,32.837818,-105.993149,4200,America/Denver,medium_airport
ALN,KALN,St Louis Regional Airport,Alton/St Louis,US,38.89030075069999,-90.0459976196,544,America/Chicago,medium_airport
ALO,KALO,Waterloo Regional Airport,Waterloo,US,42.557098388671875,-92.40029907226562,873,America/Chicago,medium_airport
ALP,OSAP,Aleppo International Airport,Aleppo,SY,36.180698,37.2244,1276,Asia/Damascus,medium_airport
ALR,NZLX,Alexandra Aerodrome,Alexandra,NZ,-45.210495,169.371113,752,Pacific/Auckland,medium_airport
ALS,KALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,37.434898,-105.866997,7539,America/Denver,medium_airport
ALW,KALW,Walla Walla Regional Airport,Walla Walla,US,46.09489822,-118.288002,1194,America/Los_Angeles,medium_airport
AMA,KAMA,Rick Husband Amarillo International Airport,Amarillo,US,35.219398,-101.706001,3607,America/Chicago,medium_airport
AMD,VAAH,Sardar Vallabh Bhai Patel International Airport,Ahmedabad,IN,23.0772,72.634697,189,Asia/Kolkata,medium_airport
AMH,HAAM,Arba Minch Airport,Arba Minch,ET,6.03939,37.5905,3901,Africa/Addis_Ababa,medium_airport
AMM,OJAI,Queen Alia International Airport,Amman,JO,31.7226009369,35.9931983948,2395,Asia/Amman,large_airport
AMQ,WAPP,Pattimura International Airport,Ambon,ID,-3.71026,128.089005,33,Asia/Jayapura,medium_airport
AMS,EHAM,Amsterdam Airport Schiphol,Amsterdam,NL,52.308601,4.76389,-11,Europe/Amsterdam,large_airport
AMV,ULDD,Amderma Airport,Amderma,RU,69.76329803466797,61.556400299072266,13,Europe/Moscow,medium_airport
AMZ,NZAR,Ardmore Airport,Manurewa,NZ,-37.029701232910156,174.97300720214844,111,Pacific/Auckland,medium_airport
ANB,KANB,Anniston Regional Airport,Anniston,US,33.5882,-85.8581,612,America/Chicago,medium_airport
ANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,US,61.179004,-149.992561,152,America/Anchorage,large_airport
AND,KAND,Anderson Regional Airport,Anderson,US,34.4945983887,-82.70939636230001,782,America/New_York,medium_airport
ANE,LFJR,Angers Marcé airport,Angers,FR,47.560299,-0.312222,194,Europe/Paris,medium_airport
ANF,SCFA,Andrés Sabella Gálvez International Airport,Antofagasta,CL,-23.444501,-70.445099,455,America/Santiago,medium_airport
ANG,LFBU,Angoulême Brie-Champniers airport,Angoulême,FR,45.729198,0.221456,436,Europe/Paris,medium_airport
ANI,PANI,Aniak Airport,Aniak,US,61.581600189208984,-159.54299926757812,88,America/Anchorage,medium_airport
ANK,LTAD,Etimesgut Air Base,Ankara,TR,39.949798584,32.6885986328,2653,Europe/Istanbul,medium_airport
ANM,FMNH,Antsirabe Airport,Antsirabe,MG,-14.9994,50.320202,20,Indian/Antananarivo,medium_airport
ANN,PANT,Annette Island Airport,Metlakatla,US,55.037663,-131.572609,119,America/Anchorage,medium_airport
ANR,EBAW,Antwerp International Airport (Deurne),Antwerp,BE,51.190667,4.463153,39,Europe/Brussels,medium_airport
ANU,TAPA,V C Bird International Airport,Osbourn,AG,17.1367,-61.792702,62,America/Antigua,medium_airport
ANV,PANV,Anvik Airport,Anvik,US,62.646702,-160.190994,291,America/Anchorage,medium_airport
ANX,ENAN,"Andøya Airport, Andenes",Andenes,NO,69.292503,16.144199,43,Europe/Oslo,medium_airport
AOC,EDAC,Leipzig–Altenburg Airport,Nobitz,DE,50.981945,12.506389,640,Europe/Berlin,medium_airport
AOE,LTBY,Anadolu Airport,Eskişehir,TR,39.809898,30.5194,2588,Europe/Istanbul,medium_airport
AOG,ZYAS,Anshan Teng'ao Airport / Anshan Air Base,Anshan,CN,41.105301,122.853996,,Asia/Shanghai,medium_airport
AOI,LIPY,Marche Airport,Falconara Marittima (AN),IT,43.616299,13.3623,49,Europe/Rome,medium_airport
AOJ,RJSA,Aomori Airport,Aomori,JP,40.73469924926758,140.6909942626953,664,Asia/Tokyo,medium_airport
AOK,LGKP,Karpathos Airport,Karpathos Island,GR,35.421398,27.146,66,Europe/Athens,medium_airport
AOL,SARL,Paso De Los Libres Airport,Paso de los Libres,AR,-29.6894,-57.1521,230,America/Argentina/Cordoba,medium_airport
AOO,KAOO,Altoona Blair County Airport,Altoona,US,40.296398,-78.32,1503,America/New_York,medium_airport
AOR,WMKA,Sultan Abdul Halim Airport,Alor Satar,MY,6.189670085906982,100.39800262451172,15,Asia/Kuala_Lumpur,medium_airport
AOT,LIMW,Aosta Corrado Gex Airport,Saint-Christophe (AO),IT,45.738552,7.3683,1791,Europe/Rome,medium_airport
APA,KAPA,Centennial Airport,Denver,US,39.57009888,-104.848999,5885,America/Denver,medium_airport
APF,KAPF,Naples Municipal Airport,Naples,US,26.1525993347,-81.7752990723,8,America/New_York,medium_airport
APG,KAPG,Phillips Army Air Field,Aberdeen,US,39.466202,-76.1688,57,America/New_York,medium_airport
API,SKAP,Gomez Nino Apiay Air Base,Apiay,CO,4.07607,-73.5627,1207,America/Bogota,medium_airport
APJ,ZUPL,Ali Pulan Airport,Burang Town,CN,30.397898,81.13317,13943,Asia/Shanghai,medium_airport
APL,FQNP,Nampula Airport,Nampula,MZ,-15.105600357055664,39.28179931640625,1444,Africa/Maputo,medium_airport
APN,KAPN,Alpena County Regional Airport,Alpena,US,45.0780983,-83.56030273,690,America/New_York,medium_airport
APO,SKLC,Antonio Roldán Betancur Airport,Carepa,CO,7.81196,-76.7164,46,America/Bogota,medium_airport
APW,NSFA,Faleolo International Airport,Apia,WS,-13.829999923706055,-172.00799560546875,58,Pacific/Apia,medium_airport
APZ,SAHZ,Zapala Airport,Zapala,AR,-38.975498,-70.113602,3330,America/Argentina/Salta,medium_airport
AQA,SBAQ,Araraquara Airport,Araraquara,BR,-21.812,-48.132999,2334,America/Sao_Paulo,medium_airport
AQG,ZSAQ,Anqing Tianzhushan Airport / Anqing North Air Base,Anqing,CN,30.582199,117.050003,,Asia/Shanghai,medium_airport
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport,Qaisumah,SA,28.335199,46.125099,1174,Asia/Riyadh,medium_airport
AQJ,OJAQ,Aqaba King Hussein International Airport,Aqaba,JO,29.611600875854492,35.01810073852539,175,Asia/Amman,medium_airport
AQP,SPQU,Rodríguez Ballón International Airport,Arequipa,PE,-16.3411006927,-71.5830993652,8405,America/Lima,medium_airport
ARA,KARA,Acadiana Regional Airport,New Iberia,US,30.0378,-91.883904,24,America/Chicago,medium_airport
ARC,PARC,Arctic Village Airport,Arctic Village,US,68.1147,-145.578995,2092,America/Anchorage,medium_airport
ARE,TJAB,Antonio Nery Juarbe Pol Airport,Arecibo,PR,18.45085,-66.675768,23,America/Puerto_Rico,medium_airport
ARH,ULAA,Talagi Airport,Archangelsk,RU,64.60030364990234,40.71670150756836,62,Europe/Moscow,medium_airport
ARI,SCAR,Chacalluta Airport,Arica,CL,-18.348499,-70.338699,167,America/Santiago,medium_airport
ARK,HTAR,Arusha Airport,Arusha,TZ,-3.3677899837493896,36.63330078125,4550,Africa/Dar_es_Salaam,medium_airport
ARM,YARM,Armidale Airport,Armidale,AU,-30.528099060099997,151.617004395,3556,Australia/Sydney,medium_airport
ARN,ESSA,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,137,Europe/Stockholm,large_airport
ART,KART,Watertown International Airport,Watertown,US,43.991901,-76.021698,325,America/New_York,medium_airport
ARU,SBAU,Araçatuba Airport,Araçatuba,BR,-21.141479,-50.424575,1361,America/Sao_Paulo,medium_airport
ARW,LRAR,Arad International Airport,Arad,RO,46.176601,21.261999,352,Europe/Bucharest,medium_airport
ARX,SBAC,Aracati Dragão do Mar Regional Airport,Aracati,BR,-4.568896,-37.805135,128,N/A,medium_airport
ARY,YARA,Ararat Airport,Ararat,AU,-37.309978,142.988688,1008,Australia/Melbourne,medium_airport
ASA,HHSB,Assab International Airport,Assab,ER,13.0718,42.645,46,Africa/Asmara,medium_airport
ASB,UTAA,Ashgabat International Airport,Ashgabat,TM,37.986801,58.361,692,Asia/Ashgabat,large_airport
ASD,MYAF,Andros Town Airport,Andros Town,BS,24.697901,-77.795601,5,America/Nassau,medium_airport
ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US,39.223202,-106.869003,7820,America/Denver,medium_airport
ASF,URWA,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,RU,46.282843,48.010511,-65,Europe/Astrakhan,medium_airport
ASI,FHAW,RAF Ascension Island,Cat Hill,SH,-7.9696,-14.3937,278,Atlantic/St_Helena,medium_airport
ASJ,RJKA,Amami Airport,Amami,JP,28.430599212646484,129.71299743652344,27,Asia/Tokyo,medium_airport
ASK,DIYO,Yamoussoukro Airport,Yamoussoukro,CI,6.9031701088,-5.36558008194,699,Africa/Abidjan,medium_airport
ASM,HHAS,Asmara International Airport,Asmara,ER,15.291899681091309,38.910701751708984,7661,Africa/Asmara,medium_airport
ASO,HASO,Asosa Airport,Asosa,ET,10.018500328063965,34.586299896240234,5100,Africa/Addis_Ababa,medium_airport
ASP,YBAS,Alice Springs Airport,Alice Springs,AU,-23.806588,133.903427,1789,Australia/Darwin,medium_airport
ASR,LTAU,Kayseri Erkilet Airport,Kayseri,TR,38.770401001,35.4953994751,3463,Europe/Istanbul,medium_airport
AST,KAST,Astoria Regional Airport,Astoria,US,46.158000946,-123.878997803,15,America/Los_Angeles,medium_airport
ASU,SGAS,Aeropuerto Internacional Silvio Pettirossi,Asunción,PY,-25.240156,-57.519227,292,America/Asuncion,large_airport
ASV,HKAM,Amboseli Airport,Amboseli National Park,KE,-2.645050048828125,37.25310134887695,3755,Africa/Nairobi,medium_airport
ASW,HESN,Aswan International Airport,Aswan,EG,23.968137,32.824445,650,Africa/Cairo,medium_airport
ATA,SPHZ,Comandante FAP German Arias Graziani Airport,Anta,PE,-9.347439765930176,-77.59839630126953,9097,America/Lima,medium_airport
ATC,MYCA,Arthur's Town Airport,Arthur's Town,BS,24.6294,-75.673797,18,America/Nassau,medium_airport
ATF,SEAM,Chachoán Regional Airport,Ambato,EC,-1.21207,-78.5746,8502,America/Guayaquil,medium_airport
ATG,,Minhas Air Base,Kamra,PK,33.8690986633,72.4009017944,1023,N/A,medium_airport
ATH,LGAV,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.9445,308,Europe/Athens,large_airport
ATK,PATQ,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,70.46704,-157.436013,96,America/Anchorage,medium_airport
ATL,KATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,33.6367,-84.428101,1026,America/New_York,large_airport
ATM,SBHT,Altamira Interstate Airport,Altamira,BR,-3.253144,-52.253938,368,America/Santarem,medium_airport
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,Amritsar,IN,31.7096,74.797302,756,Asia/Kolkata,medium_airport
ATR,GQPA,Atar International Airport,Atar,MR,20.506799697875977,-13.04319953918457,734,Africa/Nouakchott,medium_airport
ATW,KATW,Appleton International Airport,Appleton,US,44.258099,-88.519096,918,America/Chicago,medium_airport
ATY,KATY,Watertown Regional Airport,Watertown,US,44.91400146,-97.15470123,1749,America/Chicago,medium_airport
ATZ,HEAT,Asyut International Airport,Asyut,EG,27.050818,31.016309,748,Africa/Cairo,medium_airport
AUA,TNCA,Queen Beatrix International Airport,Oranjestad,AW,12.5014,-70.015198,60,America/Aruba,large_airport
AUC,SKUC,Santiago Perez Airport,Arauca,CO,7.06888,-70.7369,420,America/Bogota,medium_airport
AUF,LFLA,Auxerre Branches airport,Auxerre,FR,47.850201,3.49711,523,Europe/Paris,medium_airport
AUG,KAUG,Augusta State Airport,Augusta,US,44.320598602299995,-69.7973022461,352,America/New_York,medium_airport
AUH,OMAA,Zayed International Airport,Abu Dhabi,AE,24.443764,54.651718,88,Asia/Dubai,large_airport
AUQ,NTMN,Hiva Oa-Atuona Airport,Hiva Oa Island,PF,-9.76879024506,-139.011001587,1481,Pacific/Marquesas,medium_airport
AUR,LFLW,Aurillac airport,Aurillac,FR,44.891399,2.42194,2096,Europe/Paris,medium_airport
AUS,KAUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015,542,America/Chicago,large_airport
AUW,KAUW,Wausau Downtown Airport,Wausau,US,44.9262008667,-89.6266021729,1201,America/Chicago,medium_airport
AUX,SWGN,Araguaína Airport,Araguaína,BR,-7.22787,-48.240501,771,America/Fortaleza,medium_airport
AVA,ZUAS,Anshun Huangguoshu Airport,Anshun (Xixiu),CN,26.260556,105.873333,4812,Asia/Shanghai,medium_airport
AVB,LIPA,Aviano Air Base,Aviano (PN),IT,46.031898,12.596503,410,Europe/Rome,medium_airport
AVI,MUCA,Máximo Gómez Airport,Ciro Redondo,CU,22.0271,-78.789597,335,America/Havana,medium_airport
AVK,ZMAH,Arvaikheer Airport,Arvaikheer,MN,46.250301361083984,102.802001953125,5932,Asia/Ulaanbaatar,medium_airport
AVL,KAVL,Asheville Regional Airport,Asheville,US,35.436199,-82.541801,2165,America/New_York,medium_airport
